Case Number;Case Origin;Secondary Origin;Referrer Type;Details;Response;Status;Date/Time Opened;Date/Time Closed;Product: Product Name;Type;AE\PQC ID;Verbal Response;No Response;Written Response;User Country;Case Owner: Role: Name
27258386;Champion;Champion;;Request: La Dottoressa chiede informazioni in merito al farmaco che ha subito una escursione termica: Venerdì il farmaco era a 8°, dalle h. 20.00 si è rotto il frigorifero ed è arrivato a 22,5 ° questa mattina. attualmente il farmaco è un quarantena. Chiede se il farmaco è utilizzabile, ha solo 1 fiala rimasta.;"Inviato RCP di Tremelimumab Inviata standard response: ""Tremelimumab-Effect of Temperature Storage Deviations on Product (Vial) Stability"" Quallity check performed";Closed;06/07/2026 11.34;06/07/2026 13.10;IMJUDO;Medical Inquiry;;0;0;1;IT;Italy
27258584;Champion;Champion;MEDICAL;Request: Customer who just opened a Trixeo Aerosphere; pressure canister had come loose slightly during shipping. Product complaint (QE-284339) has been filed.;Handled through AstraZeneca complaint procedure;Closed;06/07/2026 15.15;13/07/2026 15.45;Trixeo;Medical Inquiry;;0;0;1;DK;Nordics_V
27259943;External System;Veeva;COMMERCIAL;Could tezepelumab be associated with adverse events such as blistering and erythema involving the back, groin, and inner elbow. AE detected and reported by the AZ employee.;Escalated;Closed;07/07/2026 15.02;15/07/2026 14.12;Tezspire;Medical Inquiry;;0;0;1;IL;Israel
27261224;Champion;Phone;MEDICAL;Request: La farmacista contatta il servizio per segnalare che il paziente, durante l'utilizzo della seconda confezione di Trixeo, riferisce una sensazione di gusto/sapore di gasolio in bocca dopo l'assunzione del farmaco. Segnalazione gestita come reclamo di qualità (PQC).;;Closed;08/07/2026 12.27;08/07/2026 14.32;;;;0;0;0;IT;EUCAN_V
27261225;Champion;Champion;MEDICAL;Request: La farmacista contatta il servizio per segnalare che il paziente, durante l'utilizzo della seconda confezione di Trixeo, riferisce una sensazione di gusto/sapore di gasolio in bocca dopo l'assunzione del farmaco.;MIS informa che è stato modificato il propellente del medicinale. Gestita come PQC.;Closed;08/07/2026 12.27;08/07/2026 14.31;Trixeo;Medical Inquiry;;1;0;0;IT;EUCAN_V
27262301;Email;medinfo-italy@astrazeneca.com;;Gentilissimi, martedì 23/06/2026 abbiamo ricevuto 3 confezioni di DURVALUMAB USO COMPASSIONEVOLE per il paziente con codice MATT-NQ6225-2 con totale escursionato. Il farmaco è in quarantena. Attendiamo vostre direttive. Farmacia Studi Clinici Humanitas Research Hospital;Inviato RCP Durvalumab Inviata standard response: Durvalumab Effect of Temperature Storage Deviations;Closed;09/07/2026 9.03;09/07/2026 9.41;Durvalumab;Medical Inquiry;;0;0;1;IT;Italy
27265763;Champion;Champion;MEDICAL;Request: Paziente in trattamento con Trixeo riferisce che il medicinale non viene più erogato prima del raggiungimento della zona gialla. Interruzione trattamento. PQC e AE riportati.;Inviato PIL con istruzioni di risciacquo;Closed;13/07/2026 11.39;14/07/2026 16.53;Trixeo;Medical Inquiry;;1;0;1;IT;Mediterranean_V
27266126;Email;medinfo-italy@astrazeneca.com;;Farmacia Ospedaliera Ospedale San Martino di Oristano (Sardegna). A seguito di un'avaria del frigorifero, registrati sbalzi di temperatura fino a 11°C su 12 confezioni di IMFINZI Lotto KATL Scadenza 09/2028. Si chiede se ancora idoneo.;Inviato RCP e standard response stabilità termica;Closed;13/07/2026 16.28;13/07/2026 16.46;Imfinzi;Medical Inquiry;;0;0;1;IT;Italy
27267654;Phone;;;Patient who has taken Koselugo granules is experiencing diarrhea and vomiting and has had 1 episode of nosebleed. AE reported in 27267655.;Escalated to global;Closed;14/07/2026 23.16;20/07/2026 23.01;Koselugo granules;Medical Inquiry;;1;0;1;;United States
27268403;Champion;Champion;MEDICAL;Farmacista segnala che paziente in trattamento con Trixeo ha riferito aroma/sapore fruttato mai riscontrato prima. PQC segnalato. Chiarita variazione propellente.;PQC registrato;Closed;15/07/2026 11.11;15/07/2026 15.47;Trixeo;Medical Inquiry;;1;0;0;IT;Mediterranean_V
27276908;Champion;Champion;COMMERCIAL;Female patient experienced anaphylactic reaction after receiving dose of Fasenra with tingling and swelling in throat. Treated with epinephrine.;Escalated to Safety team;Closed;23/07/2026 23.12;14/08/2026 23.31;Fasenra;Medical Inquiry;;0;0;1;CA;Canada
27281968;Champion;Champion;MEDICAL;Paziente con Trixeo segnala episodi di tachicardia, odore e sapore insolito (gas). Attualmente in ossigenoterapia. Segnalazione trasmessa a Patient Safety.;PQC e AE registrati;Closed;29/07/2026 14.32;30/07/2026 16.23;Trixeo;Product Quality Complaint;;1;0;0;IT;Mediterranean_V
27282099;Phone;;;Patient history of varicose veins got worse after starting Strensiq. AE submitted in 27282102.;Letter sent to HCP;Closed;29/07/2026 17.04;30/07/2026 22.17;Strensiq;Medical Inquiry;;1;0;1;;United States
